,ID,Strain,Weight,stateord,groupwt,totlen,prem1,posm1,spolen1,Jaw
43,shh_14.5_32_207_FZ,FVB,207,209_0_1_1_1,209,492.4369748,213.0252101,216.3865546,123.9495798,Lower molar
44,shh_15.0_01_219_K,DUHi,219,209_0_1_1_1,209,494.1275168,240.7718121,193.7919463,151.8456376,Lower molar
45,shh_15.0_01_234_D,FVB,234,331_0_2_2_1,331,495.5595027,165.1865009,162.5222025,180.2841918,Lower molar
46,shh_15.0_02_246_D,FVB,246,331_0_2_2_1,331,495.9893048,145.7219251,211.2299465,191.1764706,Lower molar
47,shh_15.0_04_217-218_J,DUHi,217.5,205_1_1_1_1,205,498.0501393,216.1559889,94.70752089,218.3844011,Lower molar
48,shh_15.0_04_293_D,FVB,293,331_0_2_2_1,331,499.1119005,106.5719361,220.2486679,190.9413854,Lower molar
49,shh_15.5_07_290_V,DUHi,290,331_0_2_2_1,331,500.4201681,110.5042017,247.4789916,187.8151261,Lower molar
50,shh_15.5_11_340_DV,DUHi,340,331_0_2_2_1,331,500.8403361,137.8151261,231.9327731,152.5210084,Lower molar
51,shh_14.5_12_205_FP,FVB,205,220_0_2_1_1,220,501.2605042,158.8235294,215.5462185,173.5294118,Lower molar
52,shh_14.5_08_221_FL,FVB,221,220_0_2_1_1,220,511.2947658,152.0661157,173.0027548,265.0137741,Lower molar
53,shh_15.0_20_264_FAC,FVB,264,331_0_2_2_1,331,512.1848739,139.4957983,244.5378151,196.2184874,Lower molar
54,shh_15.0_05_256_D,FVB,256,331_0_2_2_1,331,521.448468,122.005571,240.1114206,203.8997214,Lower molar
55,shh_15.0_06_285_D,FVB,285,331_0_2_2_1,331,527.0194986,118.1058496,171.5877437,244.5682451,Lower molar
56,shh_15.0_19_281_FAC,FVB,281,331_0_2_2_1,331,529.4117647,141.5966387,256.7226891,208.8235294,Lower molar
57,shh_15.5_01_359_N,DUHi,359,331_0_2_2_1,331,535.8931553,137.7295492,240.4006678,196.9949917,Lower molar
58,shh_15.0_08_259_FD,FVB,259,331_0_2_2_1,331,539.8328691,155.9888579,202.2284123,178.8300836,Lower molar
