"Age.dpc."	"Date"	"Strain"	"Weight"	"Litter"	"Weekday"	"indata"	"age"	"poids"	"portee"	"agerel"	"poidscor"	"agecor"	"agepreditsanscor"	"poidscor2"	"agecor2"	"dev"	"dev.inf"	"dev.sup"
"1"	13	"5/12/2015"	"FVB"	85	"FX"	3	FALSE	13	4.44265125649032	"FX"	-2	4.51794445198914	12.7253768353692	12.562538367615	4.47502733055481	12.6325589087493	12.5629977053957	12.1593448617519	12.8979525850719
"2"	13	"5/12/2015"	"FVB"	86	"FX"	3	TRUE	13	4.45434729625351	"FX"	-2	4.52964049175233	12.7506721516486	12.5878336838944	4.486723370318	12.6578542250287	12.5883069395948	12.1869459307645	12.9214785945028
"3"	13	"5/12/2015"	"FVB"	87	"FX"	3	TRUE	13	4.46590811865458	"FX"	-2	4.54120131415341	12.7756750299738	12.6128365622196	4.49828419271908	12.6828571033539	12.6133019045711	12.2145148235623	12.9443250021127
"4"	13	"5/12/2015"	"FVB"	90	"FX"	3	TRUE	13	4.49980967033027	"FX"	-2	4.57510286582909	12.8489947595029	12.6861562917487	4.53218574439476	12.756176832883	12.686840828128	12.2956996676281	13.0130568255391
"5"	13	"5/12/2015"	"FVB"	91	"FX"	3	TRUE	13	4.51085950651685	"FX"	-2	4.58615270201567	12.8728925152249	12.7100540474707	4.54323558058134	12.780074588605	12.7106665695135	12.3220611382993	13.0350744731059
"6"	13	"5/12/2015"	"FVB"	100	"FX"	3	TRUE	13	4.60517018598809	"FX"	-2	4.68046338148691	13.0768605688613	12.9140221011071	4.63754626005259	12.9840426422414	12.9144859985071	12.5456950675524	13.2237529091527
"7"	13	"5/12/2015"	"FVB"	102	"FX"	3	TRUE	13	4.62497281328427	"FX"	-2	4.70026600878309	13.1196882037499	12.9568497359957	4.65734888734876	13.02687027713	12.9574692954757	12.592301098171	13.2636251170362
"8"	13	"5/12/2015"	"FVB"	105	"FX"	3	FALSE	13	4.65396035015752	"FX"	-2	4.72925354565635	13.182380271169	13.0195418034147	4.68633642422202	13.089562344549	13.0203960449646	12.6617210661409	13.3230580978052
"9"	13	"5/12/2015"	"FVB"	108	"FX"	3	TRUE	13	4.68213122712422	"FX"	-2	4.75742442262304	13.2433061278836	13.0804676601294	4.71450730118871	13.1504882012637	13.0814671711787	12.7273085147558	13.3801696145837
"10"	13	"5/12/2015"	"FVB"	115	"FX"	3	FALSE	13	4.74493212836325	"FX"	-2	4.82022532386207	13.379127199942	13.2162887321877	4.77730820242774	13.2863092733221	13.2173568566501	12.8730540914936	13.5083373808689
