"Age.dpc."	"Date"	"Strain"	"Weight"	"Litter"	"Weekday"	"indata"	"age"	"poids"	"portee"	"agerel"	"poidscor"	"agecor"	"agepreditsanscor"	"poidscor2"	"agecor2"	"dev"	"dev.inf"	"dev.sup"
"1"	13	"5/12/2015"	"FVB"	85	"FX"	3	FALSE	13	4.44265125649032	"FX"	-2	4.51794445198914	12.7253768353692	12.562538367615	4.47502733055481	12.6325589087493	12.589654998927	12.1182794263965	13.0280533028977
"2"	13	"5/12/2015"	"FVB"	86	"FX"	3	TRUE	13	4.45434729625351	"FX"	-2	4.52964049175233	12.7506721516486	12.5878336838944	4.486723370318	12.6578542250287	12.6150774903372	12.1452840604176	13.0526051620279
"3"	13	"5/12/2015"	"FVB"	87	"FX"	3	TRUE	13	4.46590811865458	"FX"	-2	4.54120131415341	12.7756750299738	12.6128365622196	4.49828419271908	12.6828571033539	12.640305077673	12.172243529264	13.076537794088
"4"	13	"5/12/2015"	"FVB"	90	"FX"	3	TRUE	13	4.49980967033027	"FX"	-2	4.57510286582909	12.8489947595029	12.6861562917487	4.53218574439476	12.756176832883	12.7135177661869	12.2513680340069	13.1460378183533
"5"	13	"5/12/2015"	"FVB"	91	"FX"	3	TRUE	13	4.51085950651685	"FX"	-2	4.58615270201567	12.8728925152249	12.7100540474707	4.54323558058134	12.780074588605	12.7374775377064	12.2766530900248	13.16835900255
"6"	13	"5/12/2015"	"FVB"	100	"FX"	3	TRUE	13	4.60517018598809	"FX"	-2	4.68046338148691	13.0768605688613	12.9140221011071	4.63754626005259	12.9840426422414	12.9417770801145	12.4942805635072	13.3657021339385
"7"	13	"5/12/2015"	"FVB"	102	"FX"	3	TRUE	13	4.62497281328427	"FX"	-2	4.70026600878309	13.1196882037499	12.9568497359957	4.65734888734876	13.02687027713	12.9846870219465	12.5392333161127	13.4061546759927
"8"	13	"5/12/2015"	"FVB"	105	"FX"	3	FALSE	13	4.65396035015752	"FX"	-2	4.72925354565635	13.182380271169	13.0195418034147	4.68633642422202	13.089562344549	13.0476630597411	12.6055821749718	13.4674433305694
"9"	13	"5/12/2015"	"FVB"	108	"FX"	3	TRUE	13	4.68213122712422	"FX"	-2	4.75742442262304	13.2433061278836	13.0804676601294	4.71450730118871	13.1504882012637	13.1088896440573	12.6699210585222	13.5273992855516
"10"	13	"5/12/2015"	"FVB"	115	"FX"	3	FALSE	13	4.74493212836325	"FX"	-2	4.82022532386207	13.379127199942	13.2162887321877	4.77730820242774	13.2863092733221	13.2457158757265	12.8124555122233	13.6597274055009
"11"	13.5	"7/17/2014"	"FVB"	124	"FA"	5	TRUE	13.5	4.82028156560504	"FA"	-1.5	4.81557628760185	13.3690726135197	13.3792488353592	4.81825829606367	13.3748730599682	13.3810164184477	12.9434439592902	13.78178425299
"12"	13.5	"7/17/2014"	"FVB"	125	"FA"	5	TRUE	13.5	4.8283137373023	"FA"	-1.5	4.82360845929911	13.386443991149	13.3966202129884	4.82629046776093	13.3922444375975	13.398419582478	12.9621398454848	13.7993139570602
"13"	13.5	"7/17/2014"	"FVB"	127	"FA"	5	TRUE	13.5	4.84418708645859	"FA"	-1.5	4.8394818084554	13.420773678415	13.4309499002545	4.84216381691722	13.4265741248635	13.4327331502143	12.9983277158974	13.833290385881
"14"	13.5	"7/17/2014"	"FVB"	128	"FA"	5	FALSE	13.5	4.85203026391962	"FA"	-1.5	4.84732498591643	13.437736313506	13.4479125353454	4.85000699437825	13.4435367599545	13.4496283772637	13.0162889762541	13.8502883892416
"15"	13.5	"7/17/2014"	"FVB"	131	"FA"	5	FALSE	13.5	4.87519732320115	"FA"	-1.5	4.87049204519796	13.4878402891811	13.4980165110206	4.87317405365978	13.4936407356296	13.4998339005124	13.0693748135723	13.9002259055334
"16"	13.5	"7/17/2014"	"FVB"	143	"FA"	5	TRUE	13.5	4.96284463025991	"FA"	-1.5	4.95813935225672	13.6773973014673	13.6875735233067	4.96082136071854	13.6831977479158	13.6891312904333	13.2693057656479	14.0897930212839
"17"	13.5	"7/17/2014"	"FVB"	146	"FA"	5	FALSE	13.5	4.98360662170834	"FA"	-1.5	4.97890134370515	13.722299777084	13.7324759989234	4.98158335216696	13.7281002235324	13.7341050665257	13.3163409324297	14.1349288321394
"18"	13.5	"12/10/2014"	"FVB"	85	"FK"	4	FALSE	13.5	4.44265125649032	"FK"	-1.5	4.75252776286197	13.2327159999534	12.562538367615	4.57589815423013	12.8507147495205	12.6905834254566	12.1902160516039	13.1305826824659
"19"	13.5	"12/10/2014"	"FVB"	88	"FK"	4	TRUE	13.5	4.47733681447821	"FK"	-1.5	4.78721332084986	13.3077313194458	12.6375536871074	4.61058371221802	12.9257300690129	12.7657744688901	12.271075656088	13.2025474776131
"20"	13.5	"12/10/2014"	"FVB"	93	"FK"	4	FALSE	13.5	4.53259949315326	"FK"	-1.5	4.84247599952491	13.4272492899586	12.7570716576202	4.66584639089307	13.0452480395257	12.8860581308222	12.3989596330287	13.3170835492936
"21"	13.5	"12/10/2014"	"FVB"	94	"FK"	4	FALSE	13.5	4.54329478227	"FK"	-1.5	4.85317128864166	13.4503802579089	12.7802026255705	4.67654168000982	13.068379007476	12.9090978687696	12.4238904520104	13.3385879900367
"22"	13.5	"12/10/2014"	"FVB"	95	"FK"	4	FALSE	13.5	4.55387689160054	"FK"	-1.5	4.8637533979722	13.4732664491188	12.8030888167804	4.68712378934035	13.0912651986859	12.9321267451185	12.4483751084619	13.3607664728376
