"","ID","Strain.x","Age","Weight.x","Clutch","shh_R2_spot","shh_M1_spot","shh_M2_spot","cap_transition","M1_spot_split_LR","shboob","Total_state","stateord","Symmetry","groupwt","nid","Age.dpc.","Date","Strain.y","Weight.y","Litter","Weekday","indata","age","poids","portee","agerel","poidscor","agecor","agepreditsanscor","poidscor2","agecor2","dev01","dev.inf","dev.sup","sd","dev05","dev15","ident"
"181","shh_14.0_23_142_DAA","DUHi",14,142,"DAA",2,0,0,0,0,1,"2_0_0_1","143_2_0_0_1","-",143,"142DAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","shh_14.0_11_157_F","DUHi",14,157,"DF",2,0,0,0,0,1,"2_0_0_1","143_2_0_0_1","Y",143,"157DF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","shh_14.0_24_177_DAA","DUHi",14,177,"DAA",2,0,0,0,0,1,"2_0_0_1","143_2_0_0_1","y",143,"177DAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","shh_14.0_29_158_DU","DUHi",14,158,"DU",2,0,0,0,0,1,"2_0_0_1","143_2_0_0_1","-",143,"158DU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","shh_13.5_15_132_FV","FVB",13.5,132,"FV",2,0,0,0,0,1,"2_0_0_1","143_2_0_0_1","y",143,"132FV",13.5,"4/30/2015","FVB",132,"FV",5,TRUE,13.5,4.88280192258637,"FV",-1.5,4.90885914612379,13.5708177732093,13.5144631673694,4.89400652870746,13.5386956478806,13.5269172172447,13.094051586303,13.9249712339264,"001",13.5114410079669,13.5611463011663,50
"186","shh_14.5_06_155_FL","FVB",14.5,155,"FL",0,0,0,0,0,1,"0_0_0_1","168_0_0_0_1","Y",168,"155FL",14.5,"12/11/2014","FVB",155,"FL",5,TRUE,14.5,5.04342511691925,"FL",-0.5,5.04795641662486,13.8716469018859,13.8618469472405,5.04537357579266,13.8660609277381,13.8704777253579,13.4387662291857,14.2698411125795,"001",13.8584815727666,13.8732309636349,147
"187","shh_13.5_16_135_FV","FVB",13.5,135,"FV",2,0,0,0,0,1,"2_0_0_1","143_2_0_0_1","-",143,"135FV",13.5,"4/30/2015","FVB",135,"FV",5,TRUE,13.5,4.90527477843843,"FV",-1.5,4.93133200197585,13.6194203778506,13.5630657720107,4.91647938455952,13.5872982525219,13.5754521107447,13.1437635274222,13.9733631479681,"001",13.5600544680823,13.6095439854762,51
"188","shh_13.5_18_138_FV","FVB",13.5,138,"FV",2,0,0,0,0,1,"2_0_0_1","143_2_0_0_1","-",143,"138FV",13.5,"4/30/2015","FVB",138,"FV",5,TRUE,13.5,4.92725368515721,"FV",-1.5,4.95331090869462,13.6669547064083,13.6106001005684,4.93845829127829,13.6348325810796,13.6231601621254,13.1931572838691,14.0205643659204,"001",13.6078694629827,13.6570397111615,53
"189","shh_14.0_10_159_FJ","FVB",14,159,"FJ",0,0,0,0,0,1,"0_0_0_1","168_0_0_0_1","Y",168,"159FJ",14,"12/8/2014","FVB",159,"FJ",2,TRUE,14,5.06890420222023,"FJ",-1,5.20657533379452,14.214695981655,13.9169511991282,5.12810278879718,14.0449814556147,13.9793858024861,13.5509893119666,14.3806031538824,"001",13.9246239790118,14.1799695421649,108
"190","shh_14.5_10_161_FR","FVB",14.5,161,"FR",1,0,0,0,0,1,"1_0_0_1","168_1_0_0_1","-",168,"161FR",14.5,"3/4/2015","FVB",161,"FR",4,TRUE,14.5,5.08140436498446,"FR",-0.5,5.21787786854864,14.239140254858,13.9439856122344,5.14008797151706,14.0709021085626,13.9997462439673,13.5750582594033,14.4056637213951,"001",13.9546267605957,14.2071658363808,181
"191","shh_14.5_27_183_FQ","FVB",14.5,183,"FQ",0,0,0,0,0,1,"0_0_0_1","168_0_0_0_1","y",168,"183FQ",14.5,"2/26/2015","FVB",183,"FQ",5,TRUE,14.5,5.20948615284142,"FQ",-0.5,5.33743565342557,14.4977108516891,14.2209912824503,5.26450443809261,14.339980697223,14.2760420453337,13.8657153984401,14.6682337020279,"001",14.2302479430729,14.458289545756,174
"192","shh_14.5_24_359_FS","FVB",14.5,359,"FS",0,2,0,2,2,1,"0_2_2_1","331_0_2_2_1","y",331,"359FS",14.5,"4/28/2015","FVB",359,"FS",3,TRUE,14.5,5.88332238848828,"FS",-0.5,5.36698907367857,14.5616267691769,15.6783136792894,5.6612990631201,15.198138307941,15.4555943805263,15.0462197688721,15.9015093048798,"001",15.6149400748641,14.701906303621,194
"193","shh_14.5_25_373_FS","FVB",14.5,373,"FS",0,2,0,2,2,1,"0_2_2_1","331_0_2_2_1","y",331,"373FS",14.5,"4/28/2015","FVB",373,"FS",3,TRUE,14.5,5.92157841964382,"FS",-0.5,5.40524510483411,14.6443640398486,15.7610509499611,5.69955509427564,15.2808755786128,15.5385906557578,15.1279715315118,15.9885840387483,"001",15.6975810632011,14.7845741378683,196
"194","shh_16.0_05_416_F","FVB",16,416,"FF",0,2,0,2,2,1,"0_2_2_1","331_0_2_2_1","y",331,"416FF",16,"7/31/2014","FVB",416,"FF",5,TRUE,16,6.03068526026126,"FF",1,6.09243537787413,16.1305675457046,15.9970190295458,6.05723781083479,16.0544448914941,16.0279825302117,15.6203663588932,16.4521944553208,"001",15.9954933428975,16.1120045798099,318
