,X,ID,Strain.x,ident,Age,Weight.x,mediantemps,Date.x,Clutch,shh_R2_spot,shh_M1_spot,shh_M2_spot,cap_transition,M1_spot_split_LR,shboob,Total_state,stateord,Symmetry,groupwt,nid.x,Age.dpc.,Date.y,Strain.y,Weight.y,Litter,Weekday,indata,age,poids,portee,agerel,poidscor,agecor,agepreditsanscor,poidscor2,agecor2,dev01,dev.inf,dev.sup,sd,dev05,dev15,nid.y
18,18,shh_14.5_04_255-256_DG,DUHi,120,14.5,255.5,14.725,12/17/2013,DG,1,2,0,1,0,1,1_2_1_1,227_1_2_1_1,-,227,255.5DG,14.5,12/17/2013,DUHi,255,DG,3,FALSE,14.5,5.5412635452,DG,-0.5,5.3067194988,14.7020249362,15.1398458594,5.4404096052,14.9515828624,15.0381795478,14.6933192806,15.4003360047,1,15.1145040076,14.755375571,255DG
124,124,shh_15.0_05_256_FD,FVB,530,15,256,15.117,5/27/2015,FD,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,-,325,256FD,15,7/24/2014,FVB,256,FD,5,TRUE,15,5.5451774445,FD,0,5.5059311159,14.8621201818,14.9469991933,5.5283015232,14.9105012184,14.933571054,14.5313503011,15.3255567686,1,14.9339637443,14.8694257438,256FD
125,125,shh_15.5_18_257_DAC,DUHi,189,15.5,257,14.901,7/24/2014,DAC,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,y,325,257DAC,15.5,4/29/2015,DUHi,257,DAC,4,TRUE,15.5,5.5490760849,DAC,0.5,5.4323603433,14.9365573891,15.1544294458,5.498888316,15.0607444614,15.1014512748,14.7552742963,15.4502420981,1,15.1419936283,14.9688018591,257DAC
126,126,shh_15.0_16_257_FAA,FVB,490,15,257,15.022,4/29/2015,FAA,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,-,325,257FAA,15,5/27/2015,FVB,257,FAA,4,TRUE,15,5.5490760849,FAA,0,5.6624489123,15.2006251154,14.95543088,5.5978264007,15.0608644012,15.0082968104,14.6011118833,15.4123827546,1,14.9603165868,15.17193206,257FAA
127,127,shh_15.0_17_258_FAA,FVB,491,15,258,15.184,5/27/2015,FAA,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,-,325,258FAA,15,5/27/2015,FVB,258,FAA,4,TRUE,15,5.5529595849,FAA,0,5.6663324123,15.2090240575,14.9638298222,5.6017099007,15.0692633434,15.0167637072,14.6099189056,15.4211690504,1,14.9687989348,15.18027407,258FAA
128,128,shh_15.0_06_259_FD,FVB,531,15,259,15.172,5/27/2015,FD,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,Y,325,259FD,15,7/24/2014,FVB,259,FD,5,TRUE,15,5.5568280617,FD,0,5.5175817331,14.8873172616,14.9721962732,5.5399521404,14.9356982982,14.9587667389,14.5565388838,15.3505832324,1,14.9592677865,14.8944425133,259FD
129,129,shh_15.0_06_259_FD,FVB,532,15,259,15.172,5/27/2015,FD,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,Y,325,259FD,15,7/24/2014,FVB,259,FD,5,TRUE,15,5.5568280617,FD,0,5.5175817331,14.8873172616,14.9721962732,5.5399521404,14.9356982982,14.9587667389,14.5565388838,15.3505832324,1,14.9592677865,14.8944425133,259FD
130,130,shh_15.0_08_259_FD,FVB,531,15,259,14.909,7/24/2014,FD,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,y,325,259FD,15,7/24/2014,FVB,259,FD,5,TRUE,15,5.5568280617,FD,0,5.5175817331,14.8873172616,14.9721962732,5.5399521404,14.9356982982,14.9587667389,14.5565388838,15.3505832324,1,14.9592677865,14.8944425133,259FD
131,131,shh_15.0_08_259_FD,FVB,532,15,259,14.909,7/24/2014,FD,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,y,325,259FD,15,7/24/2014,FVB,259,FD,5,TRUE,15,5.5568280617,FD,0,5.5175817331,14.8873172616,14.9721962732,5.5399521404,14.9356982982,14.9587667389,14.5565388838,15.3505832324,1,14.9592677865,14.8944425133,259FD
132,132,shh_15.0_11_262_DK,DUHi,176,15,262,14.918,7/24/2014,DK,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,-,325,262DK,15,3/13/2014,DUHi,262,DK,5,TRUE,15,5.5683445038,DK,0,5.4579153245,14.9842606058,15.1903976021,5.5208599567,15.1017586937,15.1356046665,14.7978200488,15.4900936985,1,15.1775715109,15.0125863456,262DK
133,133,shh_14.5_11_263_DI,DUHi,142,14.5,263,15.004,3/13/2014,DI,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,Y,325,263DI,14.5,3/4/2014,DUHi,263,DI,3,TRUE,14.5,5.5721540322,DI,-0.5,5.3463701167,14.7760403309,15.1975088091,5.4750669485,15.0162773635,15.0940949047,14.7512991299,15.4584347941,1,15.1740595706,14.8271008611,263DI
134,134,shh_15.0_02_265_DK,DUHi,177,15,265,14.785,03/04/14,DK,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,Y,325,265DK,15,3/13/2014,DUHi,265,DK,5,TRUE,15,5.579729826,DK,0,5.4693006467,15.005513468,15.2116504643,5.5322452789,15.1230115559,15.1565141339,14.8190779674,15.5118683657,1,15.1987892876,15.0338293295,265DK
