"Age.dpc."	"Date"	"Strain"	"Weight"	"Litter"	"Weekday"	"indata"	"age"	"poids"	"portee"	"agerel"	"poidscor"	"agecor"	"agepreditsanscor"	"poidscor2"	"agecor2"	"dev"	"dev.inf"	"dev.sup"
"1"	13	"5/12/2015"	"FVB"	85	"FX"	3	FALSE	13	4.44265125649032	"FX"	-2	4.51794445198914	12.7253768353692	12.562538367615	4.47502733055481	12.6325589087493	12.7145034896365	12.2646913750763	13.0970792914986
"2"	13	"5/12/2015"	"FVB"	86	"FX"	3	TRUE	13	4.45434729625351	"FX"	-2	4.52964049175233	12.7506721516486	12.5878336838944	4.486723370318	12.6578542250287	12.7399317648973	12.2902402290147	13.1212659443804
"3"	13	"5/12/2015"	"FVB"	87	"FX"	3	TRUE	13	4.46590811865458	"FX"	-2	4.54120131415341	12.7756750299738	12.6128365622196	4.49828419271908	12.6828571033539	12.7648569407661	12.3157456663132	13.1467800672577
"4"	13	"5/12/2015"	"FVB"	90	"FX"	3	TRUE	13	4.49980967033027	"FX"	-2	4.57510286582909	12.8489947595029	12.6861562917487	4.53218574439476	12.756176832883	12.8381666052103	12.391146278886	13.2188852883746
"5"	13	"5/12/2015"	"FVB"	91	"FX"	3	TRUE	13	4.51085950651685	"FX"	-2	4.58615270201567	12.8728925152249	12.7100540474707	4.54323558058134	12.780074588605	12.8619537377647	12.4155068543803	13.2425984731509
"6"	13	"5/12/2015"	"FVB"	100	"FX"	3	TRUE	13	4.60517018598809	"FX"	-2	4.68046338148691	13.0768605688613	12.9140221011071	4.63754626005259	12.9840426422414	13.0657678550968	12.6234967141098	13.44553649222
"7"	13	"5/12/2015"	"FVB"	102	"FX"	3	TRUE	13	4.62497281328427	"FX"	-2	4.70026600878309	13.1196882037499	12.9568497359957	4.65734888734876	13.02687027713	13.1085593474417	12.6675311170244	13.4891564895977
"8"	13	"5/12/2015"	"FVB"	105	"FX"	3	FALSE	13	4.65396035015752	"FX"	-2	4.72925354565635	13.182380271169	13.0195418034147	4.68633642422202	13.089562344549	13.1713406005674	12.731538586157	13.5519385270643
"9"	13	"5/12/2015"	"FVB"	108	"FX"	3	TRUE	13	4.68213122712422	"FX"	-2	4.75742442262304	13.2433061278836	13.0804676601294	4.71450730118871	13.1504882012637	13.2321870091925	12.7940108550624	13.611970966353
"10"	13	"5/12/2015"	"FVB"	115	"FX"	3	FALSE	13	4.74493212836325	"FX"	-2	4.82022532386207	13.379127199942	13.2162887321877	4.77730820242774	13.2863092733221	13.3672965279948	12.932899959637	13.7493809511386
