	ID	Strain	Age	Weight	Clutch	shh_R2_spot	shh_M1_spot	shh_M2_spot	cap_transition	M1_spot_split_LR	shboob	Total_state	stateord	Symmetry	groupwt
90	shh_14.5_15_209-216_DG	DUHi	14.5	212.5	DG	1	1	0	1	0	1	1_1_1_1	202_1_1_1_1	Y	202
91	shh_14.5_16_209-216_DG	DUHi	14.5	212.5	DG	1	1	0	1	0	1	1_1_1_1	202_1_1_1_1	Y	202
92	shh_13.5_03_123-130_DB	DUHi	13.5	126.5	DB	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	-	123
93	shh_15.0_06_259_FD	FVB	15.0	259	FD	0	2	0	2	1	1	0_2_2_1	325_0_2_2_1	Y	325
94	shh_15.0_07_285_FD	FVB	15.0	285	FD	0	2	0	2	1	1	0_2_2_1	325_0_2_2_1	Y	325
95	shh_14.5_09_246_FL	FVB	14.5	246	FL	0	2	0	2	0	1	0_2_2_1	325_0_2_2_1	Y	325
96	shh_15.0_08_259_FD	FVB	15.0	259	FD	0	2	0	2	0	1	0_2_2_1	325_0_2_2_1	y	325
97	shh_14.5_20_343_DP	DUHi	14.5	343	DP	0	2	0	2	1	1	0_2_2_1	325_0_2_2_1	-	325
98	shh_15.0_15_285_DK	DUHi	15.0	285	DK	0	2	0	2	0	1	0_2_2_1	325_0_2_2_1	Y	325
99	shh_14.5_05_350-355_C	CD1	14.5	352.5	C	0	2	0	2	1	1	0_2_2_1	325_0_2_2_1	-	325
100	shh_13.5_15_227_C	CD1	13.5	227	C	1	2	0	1	0	1	1_2_1_1	227_1_2_1_1	-	227
101	shh_14.5_06_350-355_C	CD1	14.5	352.5	C	0	2	0	2	2	1	0_2_2_1	325_0_2_2_1	-	325
102	shh_14.5_07_367_DP	DUHi	14.5	367	DP	0	2	0	2	2	1	0_2_2_1	325_0_2_2_1	-	325
103	shh_14.5_11_263_DI	DUHi	14.5	263	DI	0	2	0	2	0	1	0_2_2_1	325_0_2_2_1	Y	325
