"","X","ID","Strain.x","ident","Age","Weight.x","Clutch","shh_R2_spot","shh_M1_spot","shh_M2_spot","cap_transition","M1_spot_split_LR","shboob","Total_state","stateord","Symmetry","groupwt","nid.x","Age.dpc.","Date","Strain.y","Weight.y","Litter","Weekday","indata","age","poids","portee","agerel","poidscor","agecor","agepreditsanscor","poidscor2","agecor2","dev01","dev.inf","dev.sup","sd","dev05","dev15","nid.y"
"12",147,"shh_14.5_29_230_DAF","DUHi",105,14.5,230,"DAF",0,1,0,1,0,1,"0_1_1_1","211_0_1_1_1","-",211,"230DAF",14.5,"10/29/2015","DUHi",230,"DAF",5,TRUE,14.5,5.4380793089232,"DAF",-0.5,5.24922640663032,14.5947031811992,14.9472329226575,5.35687256093726,14.7956451338304,14.8665858032569,14.5276827603378,15.2282160046016,"001",14.9271272752087,14.6376765218945,"230DAF"
"13",48,"shh_13.5_01_101-104_B","DUHi",13,13.5,102.5,"DB",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","y",97,"102.5DB",13.5,"1/20/2014","DUHi",102,"DB",2,FALSE,13.5,4.62497281328427,"DB",-1.5,4.43624417213138,13.0771177299913,13.4294155144766,4.54381949758853,13.2779274671479,13.3538776821549,12.972381581851,13.7369182476042,"001",13.4115477809194,13.1245620665583,"102DB"
"14",69,"shh_13.5_02_154-165_B","DUHi",25,13.5,160,"DB",1,0,0,0,0,1,"1_0_0_1","168_1_0_0_1","-",168,"160DB",13.5,"1/20/2014","DUHi",154,"DB",2,FALSE,13.5,5.03695260241363,"DB",-1.5,4.84822396126074,13.8461561021025,14.1984538865878,4.95579928671788,14.0469658392591,14.1193588684497,13.7649873374162,14.4762262512114,"001",14.1792510692112,13.8915426658952,"154DB"
"15",66,"shh_13.5_03_123-130_B","DUHi",19,13.5,126.5,"DB",2,0,0,0,0,0,"2_0_0_0","120_2_0_0_0","-",120,"126.5DB",13.5,"1/20/2014","DUHi",124,"DB",2,FALSE,13.5,4.82028156560504,"DB",-1.5,4.63155292445214,13.4416985393102,13.7939963237955,4.73912824990929,13.6425082764669,13.7168221896737,13.3520798543187,14.0846827588015,"001",13.7755034146386,13.4879196272938,"124DB"
"16",109,"shh_13.5_04_111-117_B","DUHi",16,13.5,114,"DB",2,0,0,0,0,0,"2_0_0_0","120_2_0_0_0","-",120,"114DB",13.5,"1/20/2014","DUHi",115,"DB",2,FALSE,13.5,4.74493212836325,"DB",-1.5,4.55620348721036,13.3010445313105,13.6533423157958,4.66377881266751,13.5018542684671,13.576417462989,13.2061711258785,13.948018697004,"001",13.6348937231516,13.3477130797411,"115DB"
"17",88,"shh_13.5_17_154-165_DB","DUHi",26,13.5,159.5,"DB",1,0,0,0,0,1,"1_0_0_1","168_1_0_0_1","-",168,"159.5DB",13.5,"1/20/2014","DUHi",156,"DB",2,FALSE,13.5,5.04985600724954,"DB",-1.5,4.86112736609664,13.8702427532236,14.2225405377089,4.96870269155379,14.0710524903802,14.143431855632,13.7894860877242,14.4999756809226,"001",14.2031987162759,13.9156946277404,"156DB"
"18",132,"shh_13.5_08_111_DC","DUHi",5,13.5,111,"DC",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"111DC",13.5,"03/16/16","DUHi",111,"DAI",4,FALSE,13.5,4.70953020131233,"DAI",-1.5,4.609128253065,13.3998386393012,13.5872579080962,4.66635736356598,13.5066676225143,13.5495285541616,13.1688536116121,13.9141674906386,"001",13.578274679374,13.4290798189792,"111DAI"
"19",182,"shh_14.0_01_93-101_D","DUHi",54,14,97,"DD",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","Y",97,"97DD",14,"1/20/2014","DUHi",93,"DD",2,FALSE,14,4.53259949315326,"DD",-1,4.77388802937695,13.7073939939756,13.2569832019833,4.63635356372945,13.45065984254,13.3621490703128,12.9704031335201,13.7183067331215,"001",13.2857634075365,13.651078608107,"93DD"
"20",67,"shh_14.0_02_128_D","DUHi",58,14,128,"DD",1,0,0,0,0,1,"1_0_0_1","168_1_0_0_1","Y",168,"128DD",14,"1/20/2014","DUHi",128,"DD",2,TRUE,14,4.85203026391962,"DD",-1,5.09331880014331,14.3036720795379,13.8532612875456,4.95578433449581,14.0469379281023,13.9558622073914,13.5896782953756,14.2986571305109,"001",13.8812891701827,14.2449842108505,"128DD"
"21",68,"shh_14.0_02_128_D","DUHi",59,14,128,"DD",1,0,0,0,0,1,"1_0_0_1","168_1_0_0_1","Y",168,"128DD",14,"1/20/2014","DUHi",128,"DD",2,TRUE,14,4.85203026391962,"DD",-1,5.09331880014331,14.3036720795379,13.8532612875456,4.95578433449581,14.0469379281023,13.9558622073914,13.5896782953756,14.2986571305109,"001",13.8812891701827,14.2449842108505,"128DD"
