negative,Bmper,WNT
negative,Cited1,WNT
negative,Gab1,WNT
negative,Gata3,WNT
negative,Gsc,WNT
negative,Igfbp3,WNT
negative,Inhbb,WNT
negative,Kif3a,WNT
negative,Lhx8,WNT
negative,Meis2,WNT
negative,Ncam1,WNT
negative,Pik3r1,WNT
negative,Prkaca,WNT
negative,Sfrp2,WNT
negative,Timp2,WNT
negative,Timp3,WNT
positive,Axin2,WNT
positive,Cdkn1a,WNT
positive,Dkk1,WNT
positive,Egr1,WNT
positive,Etv4,WNT
positive,Fgf3,WNT
positive,Fgf8,WNT
positive,Grem1,WNT
positive,Kremen1,WNT
positive,Msx1,WNT
positive,Nkd2,WNT
positive,Osr2,WNT
positive,Ptch2,WNT
positive,Sema3a,WNT
positive,Shh,WNT
positive,Smad2,WNT
positive,Sostdc1,WNT
positive,Sp6,WNT
positive,Tgif1,WNT
positive,Tle4,WNT
positive,Tnc,WNT
positive,Twist1,WNT
positive,Wif1,WNT
positive,Wnt10b,WNT
positive,Wnt5b,WNT
positive,Wnt9b,WNT
positive,Ptch1,WNT
negative,Cited1,BMP
negative,Fgf3,BMP
negative,Gsc,BMP
negative,Igfbp3,BMP
negative,Inhbb,BMP
negative,Lhx8,BMP
negative,Osr2,BMP
negative,Pax9,BMP
negative,Sfrp2,BMP
negative,Ski,BMP
negative,Tbx1,BMP
negative,Timp3,BMP
negative,Twist1,BMP
negative,Egr1,BMP
positive,Bmper,BMP
positive,Cdkn1a,BMP
positive,Dkk1,BMP
positive,Fgf8,BMP
positive,Fzd7,BMP
positive,Gata3,BMP
positive,Map2k1,BMP
positive,Msx1,BMP
positive,Ptch1,BMP
positive,Snai1,BMP
positive,Sostdc1,BMP
positive,Sp6,BMP
positive,Spry2,BMP
